"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"08/10/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"08/16/2023","AQS","261470031","1","0.087","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"08/22/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"08/28/2023","AQS","261470031","1","0.004","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"09/03/2023","AQS","261470031","1","0.015","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"09/09/2023","AQS","261470031","1","0.002","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"09/15/2023","AQS","261470031","1","0.018","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"09/21/2023","AQS","261470031","1","0.139","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"09/27/2023","AQS","261470031","1","0.004","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"10/03/2023","AQS","261470031","1","0.096","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"10/09/2023","AQS","261470031","1","0","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"10/15/2023","AQS","261470031","1","0","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"10/21/2023","AQS","261470031","1","0","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"10/27/2023","AQS","261470031","1","0.057","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"11/02/2023","AQS","261470031","1","0.026","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"11/08/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"11/14/2023","AQS","261470031","1","0.092","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"11/20/2023","AQS","261470031","1","0.003","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
